PortfolioName|PortfolioId|MasterPortfolioId|EffectiveDate|ConstituentName|CompanyId|PerformanceId|RIC|CUSIP|ISIN|SEDOL|Ticker|MIC|SectorId|IndustryId|GICSSubInd|CountryOfClassification|CountryOfDomicile|Region|MarketSegment|Currency|LocalPrice|FxRate|BaseCurrency|BaseCurrencyPrice|TotalOutstandingShares|MarketCap|Size|FloatFactor|WeightAdjustmentFactor|IndexShares|IndexMarketValue|IndexWeight|Dividend|NetDividend|PriceReturn|TotalReturn|NetReturn|ReturnPeriod|FileType|BloombergTicker|TaxRate|OpenIndexMarketValue|ReconRebal|RefDataId2|PublishDateTime
Morningstar Emerging Markets Factor Tilt|P000000114|702310|2023-07-04|Credicorp Ltd Shs|0C00000ASF|0P000001JE|BAP.N||||BAP|XNYS|103|10320020||PE|BM|ELA|E|USD|147.88|1|USD|147.88|79533094|11761353940.72|LRG|0.652835|0.964666103030539|50087381.267489426|7406921941.836336|0.000931547384248323|||||||OPN|BAP UN||7406921941.836336|||2023-07-03T23:12:10Z
Morningstar Emerging Markets Factor Tilt|P000000114|702310|2023-07-04|Csg Holding Co.,ltd. B|0C00000P7J|0P00007WY0|200012.SZ||||200012|XSHE|101|10120010||CN|CN|EAS|E|HKD|2.64|0.12766419210907629|USD|0.3370334671679614|1109369059|373894500.3236287|MID|1|0.96466610303054|1070170727.9328533|360683350.8968707|0.00004536211326490634|||||||OPN|200012 CH||360683350.8968707|||2023-07-03T23:12:10Z
Morningstar Emerging Markets Factor Tilt|P000000114|702310|2023-07-04|China Merchants Port Group Co Ltd Ordinary Shares B|0C00000P88|0P00007WY2|201872.SZ||||201872|XSHE|310|31080040||CN|CN|EAS|E|HKD|8.15|0.12766419210907629|USD|1.0404631656889718|179895429|187174567.55031565|LRG|0.665776|0.964666103030539|115538116.85055059|120213154.8160662|0.00001511886459726641|||||||OPN|201872 CH||120213154.8160662|||2023-07-03T23:12:10Z
Morningstar Emerging Markets Factor Tilt|P000000114|702310|2023-07-04|Guangdong Provincial Expressway Development Co.,ltd. B|0C00000ORI|0P00007WYJ|200429.SZ||||200429|XSHE|310|31040020||CN|CN|EAS|E|HKD|6.09|0.12766419210907629|USD|0.7774749299442746|348750000|271144381.81806576|MID|0.962136|0.96466610303054|323688820.0147553|251659942.66471678|0.00003165055108590476|||||||OPN|200429 CH||251659942.66471678|||2023-07-03T23:12:10Z
Morningstar Emerging Markets Factor Tilt|P000000114|702310|2023-07-04|Guangdong Electric Power Development Co.,ltd. B|0C00000P8F|0P00007WYQ|200539.SZ||||200539|XSHE|207|20710020||CN|CN|EAS|E|HKD|2.41|0.12766419210907629|USD|0.30767070298287386|798408000|245646750.62715036|MID|0.968042|0.96466610303054|745583173.9804058|229394099.2707538|0.00002885023965632505|||||||OPN|200539 CH||229394099.2707538|||2023-07-03T23:12:10Z
Morningstar Emerging Markets Factor Tilt|P000000114|702310|2023-07-04|Weifu High-Technology Group Co Ltd B|0C00000P32|0P00007WYU|200581.SZ||||200581|XSHE|102|10200030||CN|CN|EAS|E|HKD|9.74|0.12766419210907629|USD|1.243449231142403|172380000|214345778.46432742|MID|0.84|0.96466610303054|139682879.98593977|173688569.72227335|0.00002184431455726975|||||||OPN|200581 CH||173688569.72227335|||2023-07-03T23:12:10Z
Morningstar Emerging Markets Factor Tilt|P000000114|702310|2023-07-04|Anhui Gujing Distillery Company Limited B|0C00000OOR|0P00007WYV|200596.SZ||||200596|XSHE|205|20510020||CN|CN|EAS|E|HKD|135.85|0.12766419210907629|USD|17.34318049801801|120000000|2081181659.7621613|LRG|0.83|0.554616653247348|55239818.66343586|958034145.7577522|0.00012048921394194575|||||||OPN|200596 CH||958034145.7577522|||2023-07-03T23:12:10Z
Morningstar Emerging Markets Factor Tilt|P000000114|702310|2023-07-04|Chongqing Changan Automobile Company Limited B|0C00000OLS|0P00007WYX|200625.SZ||||200625|XSHE|102|10200020||CN|CN|EAS|E|HKD|3.76|0.12766419210907629|USD|0.4800173623301268|1641614777|788003595.2176993|LRG|0.829132|0.554616653247348|754897236.3755454|362363780.23529154|0.00004557345605573262|||||||OPN|200625 CH||362363780.23529154|||2023-07-03T23:12:10Z
Morningstar Emerging Markets Factor Tilt|P000000114|702310|2023-07-04|Boe Technology Group Co.,ltd. B|0C00000OSJ|0P00007WYZ|200725.SZ||||200725|XSHE|311|31120040||CN|CN|EAS|E|HKD|3.22|0.12766419210907629|USD|0.41107869859122564|692884126|284829904.7905988|LRG|0.64896|0.964666103030539|433766052.015254|178311984.15548453|0.0000224257881647108|||||||OPN|200725 CH||178311984.15548453|||2023-07-03T23:12:10Z
Morningstar Emerging Markets Factor Tilt|P000000114|702310|2023-07-04|Yantai Changyu Pioneer Wine Company Limited B|0C00000OSU|0P00007WZ4|200869.SZ||||200869|XSHE|205|20510020||CN|CN|EAS|E|HKD|11.04|0.12766419210907629|USD|1.409412680884202|232003200|326988252.0857137|MID|0.999449|0.554616653247348|128601939.59275712|181253204.448336|0.00002279569702723414|||||||OPN|200869 CH||181253204.448336|||2023-07-03T23:12:10Z
Morningstar Emerging Markets Factor Tilt|P000000114|702310|2023-07-04|Lao Feng Xiang Co Ltd Shs B|0C00000OUY|0P00007XLV|900905.SS||||900905|XSHG|102|10280040||CN|CN|EAS|E|USD|3.688|1|USD|3.688|206008134|759757998.192|MID|0.949963|0.554616653247348|108538537.27472328|400290125.46917945|0.00005034334400300158|||||||OPN|900905 CH||400290125.46917945|||2023-07-03T23:12:10Z
Morningstar Emerging Markets Factor Tilt|P000000114|702310|2023-07-04|Shanghai Chlor-Alkali Chemical Co Ltd B USD|0C00000GLE|0P00007XLY|900908.SS||||900908|XSHG|101|10130010||CN|CN|EAS|E|USD|0.546|1|USD|0.546|406560000|221981760.00000003|SML|1|13.8314618957974|5623319148.355391|3070332255.0020432|0.0003861469046629797|||||||OPN|900908 CH||3070332255.0020432|||2023-07-03T23:12:10Z
